No,歌人,歌人（ひらがな）,上の句,下の句,現代語訳,上の句（ひらがな）,下の句（ひらがな）,男性,女性,上皇,僧,春,夏,秋,冬,恋,別れ,旅,上の句決まり字,上の句決まり字数,下の句決まり字,下の句決まり字数,URL
58,大弐三位,だいにさんみ,有馬山猪名の笹原風吹けば,いでそよ人を忘れやはする,有馬山に近い猪名の笹原に風が吹くと、サワサワと音が響くでしょう？ さぁ、そうよ。私があなたのことを忘れるなんて、ありえない。私が心変わりしたなんて、とんでもない誤解だ！,ありまやまゐなのささはらかぜふけば,いでそよひとをわすれやはする,0,1,0,0,0,0,0,0,1,0,0,ありま,3,いで,2,https://hyakuninisshu.sakura.ne.jp/58.html
59,赤染衛門,あかぞめえもん,やすらはで寝なましものを小夜更けて,かたぶくまでの月を見しかな,もし、あなたが来ないって最初からわかっていたら、さっさと寝たのに。約束を信じて、ずっと待ち続けていたから、夜が更けて西の空に傾く月を見上げることになっちゃったじゃない。,やすらはでねなましものをさよふけて,かたぶくまでのつきをみしかな,0,1,0,0,0,0,0,0,1,0,0,やす,2,かた,2,https://hyakuninisshu.sakura.ne.jp/59.html
60,小式部内侍,こしきぶないし,大江山いく野の道の遠ければ,まだふみも見ず天の橋立,大江山も、生野の道も、母のいる天橋立も、とても遠い道のりなので、まだ私はその地を踏んだこともありませんし、母からの手紙も見ておりません。,おほえやまいくののみちのとほければ,まだふみもみずあまのはしだて,0,1,0,0,0,0,0,0,0,0,0,おおえ,3,まだ,2,https://hyakuninisshu.sakura.ne.jp/60.html
61,伊勢大輔,いせのたいふ,いにしへの奈良の都の八重桜,けふ九重に匂ひぬるかな,昔、奈良の都で咲き誇っていた美しい八重桜が、時を超えて今日、平安京の宮中で、さらに美しく咲き誇っていますよ！ このおめでたい席にふさわしい栄華の象徴ですね。,いにしへのならのみやこのやへざくら,けふここのへににほひぬるかな,0,1,0,0,1,0,0,0,0,0,0,いに,2,けふこ,3,https://hyakuninisshu.sakura.ne.jp/61.html
62,清少納言,せいしょうなごん,夜をこめて鳥のそら音ははかるとも,よに逢坂の関はゆるさじ,夜が明けないうちに、鶏の鳴き真似をして私を騙そうとしたって、この逢坂の関は決して開かないわよ。そんな手には乗りません。,よをこめてとりのそらねははかるとも,よにあふさかのせきはゆるさじ,0,1,0,0,0,0,0,0,0,0,0,よを,2,よに,2,https://hyakuninisshu.sakura.ne.jp/62.html
63,左京大夫道雅,さきょうのだいふみちまさ,今はただ思ひ絶えなむとばかりを,人づてならでいふよしもがな,今となっては、もうあなたに直接会うことは許されない。せめて、「あなたのことをあきらめます」という最期の言葉だけでも、人づてではなく直接伝えられる方法があればいいのに。,いまはただおもひたえなむとばかりを,ひとづてならでいふよしもがな,1,0,0,0,0,0,0,0,1,0,0,いまは,3,ひとづ,3,https://hyakuninisshu.sakura.ne.jp/63.html
64,権中納言定頼,ごんちゅうなごんさだより,朝ぼらけ宇治の川霧たえだえに,あらはれわたる瀬々の網代木,夜明けがほんのり始まる頃、宇治川に立ち込める朝霧が途切れ途切れになって、その切れ目から、氷魚を捕るための網代木（あじろぎ）が、あちこちに見え始めた。,あさぼらけうぢのかはぎりたえだえに,あらはれわたるせぜのあじろぎ,1,0,0,0,0,0,0,1,0,0,0,あさぼらけう,6,あら,2,https://hyakuninisshu.sakura.ne.jp/64.html
65,相模,さがみ,恨みわび干さぬ袖だにあるものを,恋に朽ちなむ名こそ惜しけれ,もう、あの人を恨む気力さえ残ってないわ。涙で濡れて乾く暇もない袖もあるのに、さらにこの不毛な恋のせいで浮名まで立って、私の評判が落ちぶれるなんて、悔しい。,うらみわびほさぬそでだにあるものを,こひにくちなむなこそをしけれ,0,1,0,0,0,0,0,0,1,0,0,うら,2,こいに,3,https://hyakuninisshu.sakura.ne.jp/65.html
66,前大僧正行尊,ぜんだいそうじょうぎょうそん,もろともにあはれと思え山桜,花よりほかに知る人もなし,お互いにしみじみと愛しく思い合おうじゃないか、山桜よ。この大峯山の奥深く、厳しい修行の道で、心を通い合わせられる相手は、お前と私以外に誰もいないのだから。,もろともにあはれとおもへやまざくら,はなよりほかにしるひともなし,1,0,0,1,0,0,0,0,0,0,0,もろ,2,はなよ,3,https://hyakuninisshu.sakura.ne.jp/66.html
67,周防内侍,すおうないし,春の夜の夢ばかりなる手枕に,かひなく立たむ名こそ惜しけれ,春の夜の夢みたいに、あっという間に消えるあなたの戯れの手枕のために、何の意味もない浮名が立ってしまうのは惜しいわ。軽い気持ちで受け入れられないの。,はるのよのゆめばかりなるたまくらに,かひなくたたむなこそをしけれ,0,1,0,0,0,0,0,0,0,0,0,はるの,3,かひ,2,https://hyakuninisshu.sakura.ne.jp/67.html
68,三条院,さんじょういん,心にもあらで憂き夜にながらへば,恋しかるべき夜半の月かな,こんなつらい世の中でも、不本意ながら生き長らえたとしたら、きっといつか、この夜更けの月を恋しく思い出すだろう。光さえ失いそうな今、月の光を感じられることすら名残惜しい。,こころにもあらでうきよにながらへば,こひしかるべきよはのつきかな,1,0,0,0,0,0,0,0,0,0,0,こころに,4,こひし,3,https://hyakuninisshu.sakura.ne.jp/68.html
69,能因法師,のういんほうし,嵐ふく三室の山のもみぢ葉は,竜田の川の錦なりけり,嵐が吹き下ろす三室山（みむろやま）の紅葉が、龍田川の川面に散り乱れて、まるで絢爛豪華な錦織物のように美しく川を彩っている。,あらしふくみむろのやまのもみぢばは,たつたのかはのにしきなりけり,1,0,0,1,0,0,1,0,0,0,0,あらし,3,たつ,2,https://hyakuninisshu.sakura.ne.jp/69.html
70,良暹法師,りょうせんほうし,寂しさに宿を立ち出でてながむれば,いづこも同じ秋の夕暮れ,寂しさに耐えかねて庵から飛び出してみたけれど、結局、どこも同じじゃないか。ただただ物寂しい秋の夕暮れが、そこにあるだけだったよ。,さびしさにやどをたちいでてながむれば,いづこもおなじあきのゆふぐれ,1,0,0,1,0,0,1,0,0,0,0,さ,1,いづこ,3,https://hyakuninisshu.sakura.ne.jp/70.html
71,大納言経信,だいなごんつねのぶ,夕されば門田の稲葉おとづれて,葦のまろやに秋風ぞ吹く,夕方になると、門前の稲の葉がカサカサと音を立てて、そのついでに、私の葦葺（よしぶ）きの粗末な庵にも、容赦なく秋風が吹きつけてくるなぁ。,ゆふさればかどたのいなばおとづれて,あしのまろやにあきかぜぞふく,1,0,0,0,0,0,1,0,0,0,0,ゆう,2,あし,2,https://hyakuninisshu.sakura.ne.jp/71.html
72,祐子内親王家紀伊,ゆうしないしんのういえきい,音に聞く高師の浜のあだ波は,かけじや袖のぬれもこそすれ,浮気者の言葉（あだなみ）で有名だという高師（たかし）の浜の波に、私は絶対にかかりません。だって、あなたの言葉を受け入れたら、この袖が涙で濡れてしまうのが目に見えていますから。,おとにきくたかしのはまのあだなみは,かけじやそでのぬれもこそすれ,0,1,0,0,0,0,0,0,1,0,0,おと,2,かけ,2,https://hyakuninisshu.sakura.ne.jp/72.html
73,前中納言匡房,ぜんちゅうなごんまさふさ,高砂の尾の上の桜咲きにけり,外山の霞立たずもあらなむ,高い山の尾根に、美しい桜が咲いている。里近くの山の霞よ、どうか立ち上らないでくれ。あの桜が隠れてしまうのは、あまりにも惜しいのだから。,たかさごのをのへのさくらさきにけり,とやまのかすみたたずもあらなむ,1,0,0,0,1,0,0,0,0,0,0,たか,2,と,1,https://hyakuninisshu.sakura.ne.jp/73.html
74,源俊頼朝臣,みなもとのとしよりあそん,憂かりける人を初瀬の山おろしよ,はげしかれとは祈らぬものを,つれないあの人が私になびくようにと、初瀬の観音様に一生懸命お祈りしたのに、初瀬の山おろしよ、お前みたいに冷たく手厳しくあれとは、ひと言も祈ってないぞ！,うかりけるひとをはつせのやまおろしよ,はげしかれとはいのらぬものを,1,0,0,0,0,0,0,0,1,0,0,うか,2,はげ,2,https://hyakuninisshu.sakura.ne.jp/74.html
75,藤原基俊,ふじわらのもととし,契りおきしさせもが露を命にて,あはれ今年の秋もいぬめり,約束してくれた「さしも草の」の歌の露のようなありがたい言葉を、私は命みたいに大切にしていたのに。あ今年の秋もむなしく過ぎていくようだ。約束は反故にされたんだな。,ちぎりおきしさせもがつゆをいのちにて,あはれことしのあきもいぬめり,1,0,0,0,0,0,0,0,0,0,0,ちぎりお,4,あはれこ,4,https://hyakuninisshu.sakura.ne.jp/75.html
76,法性寺入道前関白太政大臣（藤原忠通）,ほっしょうじにゅうどうぜんかんぱくだいじょうだいじん（ふじわらのただみち）,わたの原漕ぎ出でて見ればひさかたの,雲居にまがふ沖つ白波,はるか大海原に漕ぎ出して、目を凝らしてみれば、沖の遠くに立っているのは、まるで白い雲に見間違えるほどの白波だった！,わたのはらこぎいでてみればひさかたの,くもゐにまがふおきつしらなみ,1,0,0,0,0,0,0,0,0,0,0,わたのはらこ,6,くもい,3,https://hyakuninisshu.sakura.ne.jp/76.html
77,崇徳院,すとくいん,瀬をはやみ岩にせかるる滝川の,われても末に逢はむとぞ思ふ,川瀬の流れが速く、岩にせき止められて激しく落ちる滝川のように、今はあなたと別れていても、いつかきっとまた会いたいと強く願っている。この情熱は抑えられない。,せをはやみいはにせかるるたきがはの,われてもすゑにあはむとぞおもふ,1,0,1,0,0,0,0,0,1,0,0,せ,1,われ,2,https://hyakuninisshu.sakura.ne.jp/77.html
78,源兼昌,みなもとのかねまさ,淡路島通ふ千鳥の鳴く声に,いく夜寝覚めぬ須磨の関守,淡路島から渡ってくる千鳥の寂しい鳴き声に、須磨の関守は一体幾晩、目を覚まさせられただろう。光源氏もこの地で同じ寂しさを感じたのかな。,あはぢしまかよふちどりのなくこゑに,いくよねざめぬすまのせきもり,1,0,0,0,0,0,0,1,0,0,0,あはぢ,3,いく,2,https://hyakuninisshu.sakura.ne.jp/78.html
79,左京大夫顕輔,さきょうのだいふあきすけ,秋風にたなびく雲のたえ間より,もれ出づる月の影のさやけさ,秋風にたなびく雲の切れ目から、こぼれ落ちる月の光は、何と澄み渡って、明るく美しいことだろうか。,あきかぜにたなびくくものたえまより,もれいづるつきのかげのさやけさ,1,0,0,0,0,0,1,0,0,0,0,あきか,3,もれ,2,https://hyakuninisshu.sakura.ne.jp/79.html
80,待賢門院堀河,たいけんもんいんほりかわ,ながからむ心も知らず黒髪の,乱れてけさはものをこそ思へ,「永遠に愛してくれる」というあなたの言葉の真意は、私にははかりがたい。お別れした今朝の私は、この乱れた黒髪みたいに、心も乱れて不安に沈んでいるわ。,ながからむこころもしらずくろかみの,みだれてけさはものをこそおもへ,0,1,0,0,0,0,0,0,1,0,0,ながか,3,みだれて,4,https://hyakuninisshu.sakura.ne.jp/80.html
81,後徳大寺左大臣,ごとくだいじさだいじん,ほととぎす鳴きつる方をながむれば,ただ有明の月ぞ残れる,ほととぎすが鳴いた方を慌てて眺めてみたけれど、鳥の姿はもう見えなくて、ただ有明の月が空に残っていたよ。夏の訪れを告げる幻のような鳴き声だったな。,ほととぎすなきつるかたをながむれば,ただありあけのつきぞのこれる,1,0,0,1,0,1,0,0,0,0,0,ほ,1,ただ,2,https://hyakuninisshu.sakura.ne.jp/81.html
82,道因法師,どういんほうし,思ひわびさても命はあるものを,憂きに堪へぬは涙なりけり,辛くて嘆き悲しんでいるけれど、それでも堪えてなんとか生きているのに、こらえきれずにこぼれ落ちるのは、こんなにももろい涙だったよ。,おもひわびさてもいのちはあるものを,うきにたへぬはなみだなりけり,1,0,0,0,0,0,0,0,1,0,0,おも,2,うき,2,https://hyakuninisshu.sakura.ne.jp/82.html
83,皇太后宮大夫俊成,こうたいごうぐうだいふとしなり,世の中よ道こそなけれ思ひ入る,山の奥にも鹿ぞ鳴くなる,このつらい世の中から逃れる道はどこにもないようだ。思い詰めて分け入ったこの山奥でさえ、寂しげに鳴く雄鹿の声が聞こえてくる。俗世の悩みは、どこまでもついてくるんだな。,よのなかよみちこそなけれおもひいる,やまのおくにもしかぞなくなる,1,0,0,0,0,0,0,0,0,0,0,よのなかよ,5,やま,2,https://hyakuninisshu.sakura.ne.jp/83.html
84,藤原清輔朝臣,ふじわらのきよすけあそん,長らへばまたこのごろやしのばれむ,憂しと見し世ぞ今は恋しき,このまま長く生き長らえたとしたら、きっと今を懐かしく思うだろう。だって、つらいと思っていた昔の日々さえ、今となっては懐かしい思い出なんだから。,ながらへばまたこのごろやしのばれむ,うしとみしよぞいまはこひしき,1,0,0,0,0,0,0,0,0,0,0,ながら,3,うし,2,https://hyakuninisshu.sakura.ne.jp/84.html
85,俊恵法師,しゅんえほうし,夜もすがらもの思ふころは明けやらで,ねやのひまさへつれなかりけり,恋に思い悩んでいるこの頃は、一晩中が果てしなく長く感じて、いつまでも夜が明けきらない。光が全く差し込まない寝室の隙間さえも、私を待たせる薄情な人みたいにつれなく感じられるよ。,よもすがらものおもふころはあけやらで,ねやのひまさへつれなかりけり,1,0,0,1,0,0,0,0,1,0,0,よも,2,ね,1,https://hyakuninisshu.sakura.ne.jp/85.html
86,西行法師,さいぎょうほうし,嘆けとて月やはものを思はする,かこち顔なるわが涙かな,「さあ、嘆け」と月が僕に物思いをさせているのだろうか。いや、そうじゃない。月に誘われるフリをして、実は僕自身の恋心から流れる涙なんだ。,なげけとてつきやはものをおもはする,かこちがほなるわがなみだかな,1,0,0,1,0,0,0,0,1,0,0,なげけ,3,かこ,2,https://hyakuninisshu.sakura.ne.jp/86.html
87,寂蓮法師,じゃくれんほうし,村雨の露もまだ干ぬまきの葉に,霧立ちのぼる秋の夕暮,にわか雨、村雨が通り過ぎて、まだその雫が乾ききっていない杉や檜の葉のあたりに、霧がもやもやと立ち上っている。静寂な秋の夕暮れだ。,むらさめのつゆもまだひぬまきのはに,きりたちのぼるあきのゆふぐれ,1,0,0,1,0,0,1,0,0,0,0,む,1,き,1,https://hyakuninisshu.sakura.ne.jp/87.html
88,皇嘉門院別当,こうかもんいんべっとう,難波江の葦のかりねのひとよゆゑ,身をつくしてや恋ひわたるべき,難波の入り江に生える葦の根の短い一節ではないけれど、たった一夜共寝しただけのことで、私は難波の澪標（みおつくし）みたいに身を尽くして、あの人を恋い慕い続けなければいけないのでしょうか。,なにはえのあしのかりねのひとよゆゑ,みをつくしてやこひわたるべき,0,1,0,0,0,0,0,0,1,0,0,なにはえ,4,みをつくしてや,7,https://hyakuninisshu.sakura.ne.jp/88.html
89,式子内親王,しきしないしんのう,玉の緒よ絶えなば絶えねながらへば,忍ぶることの弱りもぞする,ああ、私の命よ、絶えてしまうなら今すぐに絶えてしまえ。これ以上生き長らえてしまうと、神に仕える身として恋を忍ぶという強い気持ちが弱ってしまって困るから。,たまのをよたえなばたえねながらへば,しのぶることのよわりもぞする,0,1,0,0,0,0,0,0,1,0,0,たま,2,しの,2,https://hyakuninisshu.sakura.ne.jp/89.html
90,殷富門院大輔,いんぷもんいんだいふ,見せばやな雄島の海人の袖だにも,濡れにぞ濡れし色は変はらず,あなたに見せたいわ。恋の悲しみで血の涙に濡れて、こんなにも色が変わってしまったこの私の袖を。雄島（おしま）の漁師の袖でさえ、ひどく濡れても色は変わらないのに。,みせばやなをじまのあまのそでだにも,ぬれにぞぬれしいろはかはらず,0,1,0,0,0,0,0,0,1,0,0,みせ,2,ぬ,1,https://hyakuninisshu.sakura.ne.jp/90.html
91,後京極摂政前太政大臣,ごきょうごくせっしょうぜんだいじょうだいじん,きりぎりす鳴くや霜夜のさむしろに,衣かたしきひとりかも寝む,こおろぎが鳴き、霜が降りるこんな寒い夜、筵（むしろ）の上に自分の着物だけを敷いて、私はひとり寂しく寝るのだろうか。,きりぎりすなくやしもよのさむしろに,ころもかたしきひとりかもねむ,1,0,0,0,0,0,1,0,0,0,0,きり,2,ころもか,4,https://hyakuninisshu.sakura.ne.jp/91.html
92,二条院讃岐,にじょういんさぬき,わが袖は潮干に見えぬ沖の石の,人こそ知らねかわく間もなし,私の袖は、潮が引いたときも見えない沖の石みたいに、誰にも知られることはないけれど、実は涙で濡れて乾く暇がないほど泣いているんだ。,わがそではしほひにみえぬおきのいしの,ひとこそしらねかわくまもなし,0,1,0,0,0,0,0,0,1,0,0,わがそ,3,ひとこそし,5,https://hyakuninisshu.sakura.ne.jp/92.html
93,鎌倉右大臣,かまくらうだいじん,世の中は常にもがもな渚漕ぐ,海人の小舟の綱手かなしも,ああ、世の中は、こんな風にいつまでも変わらないでいてほしい。渚を漕ぐ漁師の小舟が綱を引く、この何気ない日常の様子が、今はとても愛おしく感じられるよ。,よのなかはつねにもがもななぎさこぐ,あまのをぶねのつなでかなしも,1,0,0,0,0,0,0,0,0,0,1,よのなかは,5,あまの,3,https://hyakuninisshu.sakura.ne.jp/93.html
94,参議雅経,さんぎまさつね,み吉野の山の秋風小夜更けて,ふるさと寒く衣うつなり,吉野の山に秋風が吹きわたり、夜更けになると、吉野の里は寒くて、砧（きぬた）を打つ音が、一層寒々しく響きわたっている。,みよしののやまのあきかぜさよふけて,ふるさとさむくころもうつなり,1,0,0,0,0,0,1,0,0,0,0,みよ,2,ふる,2,https://hyakuninisshu.sakura.ne.jp/94.html
95,前大僧正慈円,ぜんだいそうじょうじえん,おほけなく憂き世の民におほふかな,わが立つ杣にすみ染の袖,おこがましいかもしれないが、このつらい悲しみに満ちた現世を生きる人々を、私の比叡山での墨染（すみぞめ）の袖で包んで守ってあげたい。,おほけなくうきよのたみにおほふかな,わがたつそまにすみぞめのそで,1,0,0,1,0,0,0,0,0,0,0,おおけ,3,わがた,3,https://hyakuninisshu.sakura.ne.jp/95.html
96,入道前太政大臣,にゅうどうぜんだいじょうだいじん,花さそふ嵐の庭の雪ならで,ふりゆくものはわが身なりけり,桜の花を誘って散らすように嵐が吹く庭で、花は雪のように降るけれど、古くなっていくのは、実はこの私の身の方なのだな。,はなさそふあらしのにはのゆきならで,ふりゆくものはわがみなりけり,1,0,0,0,0,0,0,0,0,0,0,はなさ,3,ふり,2,https://hyakuninisshu.sakura.ne.jp/96.html
97,権中納言定家,ごんちゅうなごんていか,来ぬ人を松帆の浦の夕なぎに,焼くや藻塩の身もこがれつつ,来てくれない恋人を待ち続け、私はまるで夕凪の時に松帆の浦で焼かれる藻塩のように、恋に焦がれているんですよ。,こぬひとをまつほのうらのゆふなぎに,やくやもしほのみもこがれつつ,1,0,0,0,0,0,0,0,1,0,0,こぬ,2,やく,2,https://hyakuninisshu.sakura.ne.jp/97.html
98,従二位家隆,じゅうにいのいえたか,風そよぐ楢の小川の夕暮は,みそぎぞ夏のしるしなりける,風がそよそよと楢（なら）の葉を吹く、このならの小川の夕暮れは、もう秋の気配がするけれど、水無月祓（みなづきのはらえ）の行事こそが、まだ夏であることを示しているのだな。,かぜそよぐならのをがはのゆふぐれは,みそぎぞなつのしるしなりける,1,0,0,0,0,1,0,0,0,0,0,かぜそ,3,みそ,2,https://hyakuninisshu.sakura.ne.jp/98.html
99,後鳥羽院,ごとばいん,人もをし人もうらめしあじきなく,世を思ふゆゑにもの思ふ身は,時には人が愛しく思え、時には人が恨めしくも思われる。つまらなく世の中を考えるからこそ、私はこんなにも物思いに沈んでしまうのだろうか。,ひともをしひともうらめしあぢきなく,よをおもふゆゑにものおもふみは,1,0,1,0,0,0,0,0,0,0,0,ひとも,3,よをお,3,https://hyakuninisshu.sakura.ne.jp/99.html
100,順徳院,じゅんとくいん,百敷や古き軒端のしのぶにも,なほあまりある昔なりけり,古びた宮中の軒先に生えている忍ぶ草を見るたびに、昔のよかった時代のことが偲（しの）んでも偲びきれないほど懐かしく思い出されるよ。この荒廃ぶりが、昔との差を痛感させる。,ももしきやふるきのきばのしのぶにも,なほあまりあるむかしなりけり,1,0,1,0,0,0,0,0,0,0,0,もも,2,なほあ,3,https://hyakuninisshu.sakura.ne.jp/100.html
